id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
1,Frasers Hospitality Launches First Hotel Residence in Northern Vietnam,frasers-hospitality-launches-first-hotel-residence-in-northern-vietnam,05 November 2024,05 November 2024,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/modena-by-fraser-vinh-yen-opening/MBFVY_Newsroom-Thumbnail-1080x1080.jpg,press_release,,,2024-11-26 23:58:30,2024-11-26 23:58:30,en,Frasers Hospitality Launches First Hotel Residence in Northern Vietnam,05 November 2024,Frasers Hospitality Launches First Hotel Residence in Northern Vietnam,05 November 2024,
2,Frasers Hospitality Enhances Strategic Leadership with New Key Appointments,frasers-hospitality-enhances-strategic-leadership-with-new-key-appointments,01 October 2024,01 October 2024,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/frasers-hospitality-enhances-strategic-leadership-with-new-key-appointments/IanHangSong_Newsroom-Thumbnail-1080x1080.jpg,press_release,,,2024-11-26 23:58:31,2024-11-26 23:58:31,en,Frasers Hospitality Enhances Strategic Leadership with New Key Appointments,01 October 2024,Frasers Hospitality Enhances Strategic Leadership with New Key Appointments,01 October 2024,
3,Frasers Hospitality Extends its Winning Streak in 2024,frasers-hospitality-extends-its-winning-streak-in-2024,30 September 2024,30 September 2024,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/frasers-hospitality-extends-its-winning-streak-in-2024/TTG2024_Newsroom-Thumbnail-1080x1080px.jpg,press_release,,,2024-11-26 23:58:31,2024-11-26 23:58:31,en,Frasers Hospitality Extends its Winning Streak in 2024,30 September 2024,Frasers Hospitality Extends its Winning Streak in 2024,30 September 2024,
4,Frasers Hospitality Offers 60 More Reasons to Explore Like a Local with More to Save,frasers-hospitality-offers-60-more-reasons-to-explore-like-a-local-with-more-to-save,24 September 2024,24 September 2024,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/frasers-hospitality-offers-60-more-reasons-to-explore-like-a-local-with-more-to-save/MoretoExplore_Newsroom-Thumbnails-1080x1080px.jpg,press_release,,,2024-11-26 23:58:32,2024-11-26 23:58:32,en,Frasers Hospitality Offers 60 More Reasons to Explore Like a Local with More to Save,24 September 2024,Frasers Hospitality Offers 60 More Reasons to Explore Like a Local with More to Save,24 September 2024,
5,Frasers Hospitality Joins Forces with Club Rainbow to Amplify Community Impact,frasers-hospitality-joins-forces-with-club-rainbow-to-amplify-community-impact,29 August 2024,29 August 2024,"https://p3.aprimocdn.net/frasersproperty/a5a6b2c0-db29-4c92-b7a5-b1db00cc0409/Frasers%20Hospitality_Club%20Rainbow_AEM_downloadImageForWeb.Jpg?disable=upscale&width=1080&height=1080&trim=300,50,100,0&fit=crop",press_release,,,2024-11-26 23:58:32,2024-11-26 23:58:32,en,Frasers Hospitality Joins Forces with Club Rainbow to Amplify Community Impact,29 August 2024,Frasers Hospitality Joins Forces with Club Rainbow to Amplify Community Impact,29 August 2024,
6,Frasers Hospitality gears up twin engines of growth for international expansion,frasers-hospitality-gears-up-twin-engines-of-growth-for-international-expansion,04 July 2024,04 July 2024,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/frasers-hospitality-gears-up-twin-engines-of-growth-for-international-expansion/TwinEngines_MFNG_TwoBedroomExecutive-Newsroom-Thumbnail-1080x1080.jpg,press_release,,,2024-11-26 23:58:32,2024-11-26 23:58:32,en,Frasers Hospitality gears up twin engines of growth for international expansion,04 July 2024,Frasers Hospitality gears up twin engines of growth for international expansion,04 July 2024,
7,,,,,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/frasers-hospitality-debuts-in-taiwan-with--fraser-residence-taipei/Frasers-Hospitality_Fraser%20Residence%20Taipei-Newsroom-Thumbnail-1080x1080.jpg,press_release,,,2024-11-26 23:58:33,2024-11-26 23:58:33,en,,,,,
8,Frasers Hospitality clinches BREEAM In-Use Certifications for European portfolio in alignment with ESG Goals,frasers-hospitality-clinches-breeam-in-use-certifications-for-european-portfolio-in-alignment-with-esg-goals,09 April 2024,09 April 2024,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/frasers-hospitality-clinches-breeam-in-use-certifications-for-european-portfolio-in-alignment-with-esg-goals/Frasers-Hospitality_BREEAM-In-Use-Certifications-Newsroom-Thumbnail-1080x1080.jpg,press_release,,,2024-11-26 23:58:34,2024-11-26 23:58:34,en,Frasers Hospitality clinches BREEAM In-Use Certifications for European portfolio in alignment with ESG Goals,09 April 2024,Frasers Hospitality clinches BREEAM In-Use Certifications for European portfolio in alignment with ESG Goals,09 April 2024,
9,Frasers Hospitality Amplifies Presence in China with Maiden Debut of Fraser Place in Chengdu,frasers-hospitality-amplifies-presence-in-china-with-maiden-debut-of-fraser-place-in-chengdu,28 March 2024,28 March 2024,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/frasers-hospitality-amplifies-presence-in-china-with-maiden-debut-of-fraser-place-in-chengdu/Fraser%20Place%20Chengdu-Newsroom-1080x1080.jpg,press_release,,,2024-11-26 23:58:35,2024-11-26 23:58:35,en,Frasers Hospitality Amplifies Presence in China with Maiden Debut of Fraser Place in Chengdu,28 March 2024,Frasers Hospitality Amplifies Presence in China with Maiden Debut of Fraser Place in Chengdu,28 March 2024,
10,Frasers Hospitality Solidifies Its Presence in Bahrain with Opening of Third Fraser Suites Property,frasers-hospitality-solidifies-its-presence-in-bahrain-with-opening-of-third-fraser-suites-property,18 February 2024,18 February 2024,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/newsroom/frasers-hospitality-solidifies-its-presence-in-bahrain-with-opening-of-third-fraser-suites-property-/Fraser%20Suites%20Al%20Liwan-Newsroom-Thumbnail-1080x1080.JPG,press_release,,,2024-11-26 23:58:35,2024-11-26 23:58:35,en,Frasers Hospitality Solidifies Its Presence in Bahrain with Opening of Third Fraser Suites Property,18 February 2024,Frasers Hospitality Solidifies Its Presence in Bahrain with Opening of Third Fraser Suites Property,18 February 2024,
