id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
1,Hilton Further Expands Luxury Portfolio in China with First LXR Hotels & Resorts Signing for Property in Xi’an ,hilton-further-expands-luxury-portfolio-in-china-with-first-lxr-hotels-and-resorts-signing-for-property-in-xi’an-,,,stories_hilton_news_images/hilton-further-expands-luxury-portfolio-in-china-with-first-lxr-hotels-and-resorts-signing-for-property-in-xi’an-.jpg,news,,,2024-11-22T14:08:09,2024-11-23 23:47:54,en,Hilton Further Expands Luxury Portfolio in China with First LXR Hotels & Resorts Signing for Property in Xi’an ,,Hilton Further Expands Luxury Portfolio in China with First LXR Hotels & Resorts Signing for Property in Xi’an  desc,,1
2,Hilton and American Campus Communities Team Up to Make College Life Even More Rewarding,hilton-and-american-campus-communities-team-up-to-make-college-life-even-more-rewarding,,,stories_hilton_news_images/hilton-and-american-campus-communities-team-up-to-make-college-life-even-more-rewarding.jpg,news,,,2024-11-21T11:34:45,2024-11-23 23:47:54,en,Hilton and American Campus Communities Team Up to Make College Life Even More Rewarding,,Hilton and American Campus Communities Team Up to Make College Life Even More Rewarding desc,,1
3,Hilton Expands Resorts Portfolio with New Signings in Premier Mediterranean Destinations,hilton-expands-resorts-portfolio-with-new-signings-in-premier-mediterranean-destinations,,,stories_hilton_news_images/hilton-expands-resorts-portfolio-with-new-signings-in-premier-mediterranean-destinations.jpg,news,,,2024-11-21T10:00:00,2024-11-23 23:47:54,en,Hilton Expands Resorts Portfolio with New Signings in Premier Mediterranean Destinations,,Hilton Expands Resorts Portfolio with New Signings in Premier Mediterranean Destinations desc,,1
4,Putting People First and Providing Care For All: How Hilton Benefits Support Caregivers,putting-people-first-and-providing-care-for-all:-how-hilton-benefits-support-caregivers,,,stories_hilton_news_images/putting-people-first-and-providing-care-for-all:-how-hilton-benefits-support-caregivers.jpg,news,,,2024-11-20T15:37:49,2024-11-23 23:47:56,en,Putting People First and Providing Care For All: How Hilton Benefits Support Caregivers,,Putting People First and Providing Care For All: How Hilton Benefits Support Caregivers desc,,1
5,"Waldorf Astoria New York’s Signature Restaurant, Lex Yard, Led by Chef Michael Anthony to Debut Spring 2025","waldorf-astoria-new-york’s-signature-restaurant,-lex-yard,-led-by-chef-michael-anthony-to-debut-spring-2025",,,"stories_hilton_news_images/waldorf-astoria-new-york’s-signature-restaurant,-lex-yard,-led-by-chef-michael-anthony-to-debut-spring-2025.jpg",news,,,2024-11-19T12:59:10,2024-11-23 23:47:56,en,"Waldorf Astoria New York’s Signature Restaurant, Lex Yard, Led by Chef Michael Anthony to Debut Spring 2025",,"Waldorf Astoria New York’s Signature Restaurant, Lex Yard, Led by Chef Michael Anthony to Debut Spring 2025 desc",,1
6,Hilton Signs Strategic Licensing Agreement with Olive by Embassy to Bring 150 Spark by Hilton Hotels to India,hilton-signs-strategic-licensing-agreement-with-olive-by-embassy-to-bring-150-spark-by-hilton-hotels-to-india,,,stories_hilton_news_images/hilton-signs-strategic-licensing-agreement-with-olive-by-embassy-to-bring-150-spark-by-hilton-hotels-to-india.jpg,news,,,2024-11-19T08:46:11,2024-11-23 23:47:56,en,Hilton Signs Strategic Licensing Agreement with Olive by Embassy to Bring 150 Spark by Hilton Hotels to India,,Hilton Signs Strategic Licensing Agreement with Olive by Embassy to Bring 150 Spark by Hilton Hotels to India desc,,1
7,Hilton Celebrates Eighth Consecutive Year as the Best Hospitality Company to Work For in the World as Recognized by Great Place to Work and Fortune,hilton-celebrates-eighth-consecutive-year-as-the-best-hospitality-company-to-work-for-in-the-world-as-recognized-by-great-place-to-work-and-fortune,,,stories_hilton_news_images/hilton-celebrates-eighth-consecutive-year-as-the-best-hospitality-company-to-work-for-in-the-world-as-recognized-by-great-place-to-work-and-fortune.jpg,news,,,2024-11-14T08:09:39,2024-11-23 23:47:56,en,Hilton Celebrates Eighth Consecutive Year as the Best Hospitality Company to Work For in the World as Recognized by Great Place to Work and Fortune,,Hilton Celebrates Eighth Consecutive Year as the Best Hospitality Company to Work For in the World as Recognized by Great Place to Work and Fortune desc,,1
8,Hilton Increases Stock Repurchase Authorization,hilton-increases-stock-repurchase-authorization,,,stories_hilton_news_images/hilton-increases-stock-repurchase-authorization.jpg,news,,,2024-11-14T07:01:43,2024-11-23 23:47:57,en,Hilton Increases Stock Repurchase Authorization,,Hilton Increases Stock Repurchase Authorization desc,,1
9,Conrad Chia Laguna Sardinia Spa Offers Services Inspired by Blue Zone Living,conrad-chia-laguna-sardinia-spa-offers-services-inspired-by-blue-zone-living,,,stories_hilton_news_images/conrad-chia-laguna-sardinia-spa-offers-services-inspired-by-blue-zone-living.jpg,news,,,2024-11-12T10:35:07,2024-11-23 23:47:57,en,Conrad Chia Laguna Sardinia Spa Offers Services Inspired by Blue Zone Living,,Conrad Chia Laguna Sardinia Spa Offers Services Inspired by Blue Zone Living desc,,1
10,"Hilton Celebrates Global Week of Engagement, Partners with Keep America Beautiful to Support Community Revitalization ","hilton-celebrates-global-week-of-engagement,-partners-with-keep-america-beautiful-to-support-community-revitalization-",,,"stories_hilton_news_images/hilton-celebrates-global-week-of-engagement,-partners-with-keep-america-beautiful-to-support-community-revitalization-.jpg",news,,,2024-11-04T09:11:05,2024-11-23 23:47:57,en,"Hilton Celebrates Global Week of Engagement, Partners with Keep America Beautiful to Support Community Revitalization ",,"Hilton Celebrates Global Week of Engagement, Partners with Keep America Beautiful to Support Community Revitalization  desc",,1
